#{"t_start": 1779737920.8542972, "env_id": "None"}
r,l,t
-112.0,121,4.531456
-140.0,105,5.691435
-168.0,43,6.230576
-114.0,136,7.700597
-154.0,50,8.310625
-168.0,51,8.950617
-114.0,154,10.601702
-164.0,43,11.141348
-178.0,38,11.620233
-166.0,35,12.080649
-176.0,39,12.580825
-176.0,32,13.010812
-176.0,46,13.580664
-172.0,41,14.100712
-178.0,35,14.56161
-182.0,28,14.950282
-122.0,114,16.470292
-178.0,28,16.860589
-180.0,36,17.330519
-178.0,45,17.892418
-124.0,99,18.990877
-170.0,42,19.52069
-166.0,37,20.000539
-144.0,68,20.790581
-118.0,128,22.180704
-184.0,23,22.520941
-150.0,80,23.431823
-170.0,42,23.961777
-176.0,31,24.382428
-166.0,64,25.13123
-136.0,87,26.110507
-178.0,30,26.52172
-174.0,29,26.920722
-178.0,36,27.39169
-170.0,39,27.890799
-158.0,52,28.520729
-114.0,105,29.681782
-112.0,91,30.701866
-160.0,43,31.242183
-150.0,58,31.93072
-162.0,51,32.55086
-112.0,128,33.940762
-156.0,72,34.770714
-162.0,44,35.320597
-108.0,100,36.43145
-146.0,75,37.291399
-142.0,69,38.090883
-164.0,44,38.640754
-168.0,49,39.240977
-108.0,141,40.761273
-166.0,61,41.480669
-108.0,117,42.761274
-150.0,70,43.570869
-158.0,59,44.271491
-124.0,92,45.302694
-112.0,101,46.421595
-106.0,127,47.800745
-162.0,55,48.460725
-178.0,25,48.821607
-138.0,79,49.724638
-114.0,95,50.780946
-172.0,33,51.221244
-164.0,49,51.825395
-162.0,39,52.320894
-146.0,64,53.072425
-156.0,65,53.831605
-172.0,24,54.180451
-164.0,38,54.671635
-138.0,75,55.53169
-176.0,35,55.991063
-130.0,86,56.961736
-116.0,111,58.180784
-112.0,93,59.221634
-168.0,32,59.651709
-170.0,39,60.150238
-114.0,116,61.420955
-178.0,31,61.841835
-174.0,34,62.292759
-174.0,40,62.802687
-152.0,69,63.601475
-106.0,128,64.996213
-154.0,47,65.57119
-116.0,100,66.685067
-168.0,30,67.091621
-164.0,42,67.621971
-168.0,38,68.111747
-182.0,26,68.482848
-108.0,105,69.642561
-132.0,71,70.463322
-170.0,42,70.994211
-156.0,52,71.622576
-170.0,28,72.012734
-162.0,32,72.441548
-180.0,27,72.82081
-144.0,52,73.452586
-172.0,33,73.898823
-104.0,114,75.152785
-176.0,28,75.541718
-158.0,55,76.203992
-114.0,96,77.27201
-148.0,63,78.012614
-108.0,119,79.310088
-128.0,76,80.181475
-168.0,27,80.561622
-148.0,58,81.25779
-144.0,50,81.863957
-104.0,84,82.813491
-158.0,49,83.421105
-162.0,49,84.013641
-154.0,42,84.546911
-114.0,97,85.631171
-112.0,118,86.924035
-112.0,103,88.064788
-178.0,27,88.447053
-88.0,114,89.693727
-158.0,40,90.205148
-134.0,72,91.036578
-160.0,43,91.574458
-158.0,39,92.075817
-140.0,56,92.745823
-116.0,91,93.765378
-164.0,30,94.181202
-152.0,47,94.754882
-108.0,74,95.604483
-182.0,18,95.895931
-108.0,94,96.945385
-158.0,43,97.485648
-136.0,57,98.172894
-162.0,42,98.707034
-172.0,32,99.13673
-106.0,89,100.135882
-150.0,54,100.78636
-182.0,26,101.156
-124.0,74,102.004439
-168.0,34,102.466656
-136.0,76,103.335806
-114.0,84,104.286278
-110.0,90,105.295878
-154.0,45,105.856025
-140.0,50,106.467157
-180.0,30,106.879462
-160.0,33,107.31666
-180.0,24,107.711395
-184.0,14,107.975573
-156.0,42,108.505978
-146.0,50,109.116854
-162.0,36,109.585717
-166.0,31,110.079914
-174.0,29,110.473522
-160.0,32,110.905245
-106.0,100,112.016181
-144.0,67,112.796056
-110.0,94,113.843007
-154.0,35,114.305747
-140.0,62,115.044984
-124.0,81,115.964795
-140.0,70,116.777123
-106.0,105,117.937033
-160.0,34,118.402467
-168.0,50,119.022706
-150.0,50,119.64618
-160.0,34,120.093589
-162.0,36,120.567057
-164.0,35,121.028115
-144.0,52,121.656816
-148.0,59,122.386508
-114.0,90,123.409514
-106.0,97,124.506013
-132.0,82,125.472464
-52.0,162,127.196795
-160.0,44,127.761004
-104.0,101,128.889507
-92.0,112,130.122963
-144.0,44,130.675248
-150.0,52,131.299394
-38.0,148,132.877743
-130.0,56,133.553771
-102.0,85,134.546326
-104.0,97,135.613773
-144.0,60,136.371292
-102.0,84,137.326774
-108.0,95,138.383701
-104.0,107,139.567912
-162.0,27,139.9485
-158.0,33,140.385479
-162.0,36,140.855719
-142.0,60,141.572015
-154.0,39,142.074608
-170.0,29,142.477298
-150.0,49,143.099731
-70.0,135,144.562322
-104.0,115,145.903508
-98.0,101,147.037072
605.0,129,148.434254
-34.0,199,150.536547
-58.0,147,152.118515
-156.0,37,152.596661
610.0,140,154.10431
-100.0,93,155.148109
609.0,133,156.584266
594.0,158,158.274302
603.0,147,159.853712
-158.0,50,160.46714
622.0,128,161.854661
-110.0,70,162.704339
609.0,129,164.104195
626.0,122,165.434528
-90.0,114,166.790692
610.0,142,168.314501
592.0,160,170.023915
-98.0,106,171.19628
-112.0,200,173.303918
617.0,121,174.624487
-138.0,54,175.308963
625.0,111,176.523998
591.0,163,178.266205
620.0,128,179.656261
608.0,120,180.969687
-100.0,109,182.169828
-140.0,46,182.739491
612.0,128,184.129821
596.0,158,185.819731
620.0,124,187.169504
-148.0,43,187.71459
-152.0,38,188.203725
610.0,122,189.534582
623.0,121,190.856161
613.0,123,192.198349
623.0,115,193.460826
636.0,92,194.492541
620.0,108,195.674791
627.0,117,196.956688
596.0,140,198.471611
614.0,130,199.874018
608.0,150,201.486862
591.0,153,203.128099
618.0,114,204.385761
613.0,135,205.84209
-158.0,32,206.283829
637.0,85,207.233536
637.0,111,208.456381
-144.0,44,209.030561
617.0,125,210.399297
614.0,124,211.760491
628.0,118,213.045876
615.0,119,214.351924
-30.0,157,216.035993
633.0,97,217.123012
-142.0,46,217.700025
-86.0,200,219.803867
626.0,104,220.953642
618.0,120,222.263314
614.0,132,223.693263
632.0,98,224.784132
626.0,112,226.014347
633.0,113,227.254269
640.0,102,228.383312
617.0,119,229.683505
626.0,100,230.794121
628.0,112,232.023578
624.0,110,233.233443
620.0,102,234.363523
641.0,87,235.344122
629.0,115,236.603306
632.0,100,237.713696
634.0,108,238.903351
635.0,121,240.223754
634.0,110,241.433893
640.0,100,242.546438
631.0,107,243.726604
621.0,131,245.147325
625.0,125,246.506596
634.0,102,247.636472
634.0,106,248.819353
633.0,99,249.919922
617.0,125,251.279314
629.0,119,252.58048
622.0,120,253.890758
646.0,106,255.060589
631.0,117,256.339508
643.0,99,257.439481
634.0,120,258.753418
632.0,124,260.115993
637.0,113,261.358416
627.0,131,262.780653
643.0,113,264.022487
643.0,95,265.085866
637.0,117,266.369487
637.0,113,267.604068
639.0,129,269.021539
638.0,130,270.436704
629.0,119,271.742222
629.0,129,273.14498
647.0,111,274.367775
639.0,117,275.65099
643.0,113,276.897627
654.0,102,278.040643
652.0,110,279.256588
645.0,97,280.346216
644.0,96,281.418456
653.0,105,282.585117
643.0,125,283.952817
639.0,125,285.321678
635.0,105,286.488928
640.0,94,287.546394
648.0,104,288.706837
644.0,100,289.819939
653.0,93,290.861537
647.0,113,292.113393
654.0,92,293.228802
631.0,101,294.354547
654.0,96,295.434746
-138.0,39,295.959706
648.0,92,296.984458
643.0,109,298.185196
648.0,96,299.254702
634.0,102,300.394854
651.0,91,301.414834
627.0,103,302.555257
-64.0,84,303.521018
636.0,112,304.745404
644.0,102,305.955097
650.0,90,306.965097
652.0,102,308.104781
649.0,95,309.184705
650.0,100,310.304771
652.0,98,311.405203
652.0,100,312.59498
658.0,104,313.744763
658.0,98,314.844867
656.0,94,315.905196
-116.0,51,316.629545
656.0,92,317.655077
654.0,88,318.655046
639.0,93,319.795321
651.0,89,320.81522
656.0,84,321.775967
656.0,96,322.854993
657.0,101,323.977231
651.0,111,325.200026
652.0,94,326.261902
-58.0,94,327.415593
655.0,91,328.44034
657.0,101,329.629076
657.0,95,330.69174
658.0,108,331.939885
661.0,99,333.039465
662.0,90,334.131235
659.0,93,335.177949
660.0,98,336.377351
644.0,94,337.432475
-112.0,60,338.227017
658.0,96,339.301253
646.0,88,340.37286
659.0,93,341.409395
661.0,107,342.658486
655.0,81,343.589593
661.0,97,344.666094
655.0,87,345.650881
661.0,91,346.686327
635.0,99,347.855682
-74.0,76,348.750053
651.0,91,349.846753
-90.0,66,350.632092
645.0,105,351.800174
660.0,92,352.922153
662.0,90,353.932798
-96.0,74,354.881009
661.0,91,355.890783
-78.0,73,356.749583
657.0,99,357.839582
660.0,102,358.965173
663.0,97,360.132293
662.0,96,361.231482
-88.0,101,362.451786
664.0,104,363.610303
651.0,85,364.659216
664.0,96,365.730255
650.0,90,366.819441
658.0,98,367.909261
645.0,107,369.089211
668.0,98,370.239239
654.0,98,371.33993
669.0,85,372.369425
648.0,86,373.339345
-80.0,79,374.251095
656.0,104,375.449301
-36.0,101,376.569873
647.0,83,377.589249
655.0,93,378.631767
642.0,112,379.931851
667.0,101,381.061633
-78.0,72,381.906444
663.0,97,382.995048
648.0,100,384.114707
652.0,98,385.276849
663.0,99,386.387136
654.0,96,387.561796
660.0,102,388.691351
675.0,87,389.746533
649.0,101,390.881273
662.0,98,392.046878
658.0,92,393.086301
669.0,107,394.285302
659.0,97,395.45452
667.0,107,396.635968
-86.0,69,397.496567
665.0,101,398.636941
-98.0,62,399.468433
657.0,87,400.441111
659.0,95,401.520933
668.0,110,402.806229
666.0,106,403.996467
654.0,90,405.094911
662.0,104,406.266865
650.0,92,407.378787
658.0,104,408.538749
664.0,108,409.787941
657.0,97,410.877981
661.0,99,411.984958
651.0,85,413.019278
653.0,89,414.033734
661.0,101,415.264966
661.0,99,416.381702
-198.0,200,418.577779
665.0,101,419.720471
659.0,103,420.937809
666.0,98,422.035715
645.0,113,423.361656
654.0,88,424.380231
651.0,85,425.439286
-68.0,80,426.386919
648.0,88,427.44387
667.0,105,428.632993
665.0,99,429.760038
666.0,104,430.936373
667.0,97,432.04488
-80.0,77,432.994245
657.0,105,434.167777
669.0,103,435.386068
668.0,114,436.636371
654.0,138,438.235972
671.0,109,439.436254
679.0,93,440.556016
-58.0,90,441.575964
-72.0,75,442.458888
-62.0,85,443.439467
672.0,112,444.676154
652.0,110,445.966147
673.0,127,447.346369
-28.0,200,449.54901
659.0,97,450.711189
657.0,95,451.783666
658.0,92,452.896143
656.0,92,453.940001
659.0,91,454.972404
648.0,82,455.985758
661.0,105,457.147288
646.0,94,458.285797
662.0,92,459.341824
661.0,99,460.455859
656.0,92,461.569805
652.0,94,462.637352
663.0,99,463.814497
658.0,88,464.824363
654.0,82,465.862763
656.0,92,466.898314
-80.0,77,467.808903
658.0,94,468.919241
665.0,103,470.066941
662.0,96,471.218904
651.0,91,472.258762
650.0,82,473.208267
659.0,95,474.356993
644.0,96,475.442368
654.0,84,476.467505
655.0,99,477.587223
652.0,86,478.647686
661.0,91,479.668328
657.0,93,480.719386
652.0,86,481.753479
656.0,84,482.719303
644.0,78,483.681377
-86.0,67,484.489444
653.0,89,485.502155
-96.0,61,486.323728
652.0,100,487.445442
659.0,95,488.521079
647.0,89,489.617246
672.0,110,490.865189
647.0,77,491.831451
651.0,91,492.868351
656.0,90,493.948003
656.0,90,494.986902
660.0,94,496.069415
-94.0,63,496.887404
-90.0,70,497.699827
652.0,104,498.927214
654.0,88,499.949789
-92.0,64,500.7314
-72.0,81,501.775069
664.0,102,502.945109
-78.0,76,503.952267
-88.0,66,504.732447
657.0,93,505.78143
-108.0,56,506.515553
-86.0,68,507.311311
-90.0,65,508.123078
649.0,87,509.17183
658.0,92,510.231984
651.0,91,511.331753
660.0,104,512.50159
662.0,98,513.681259
663.0,103,514.831527
-80.0,77,515.785803
651.0,111,517.015403
658.0,96,518.097185
650.0,86,519.15057
652.0,96,520.23027
662.0,100,521.413591
658.0,116,522.695476
-106.0,55,523.482372
653.0,91,524.50186
659.0,99,525.691422
-82.0,73,526.554721
664.0,104,527.707285
-82.0,72,528.549898
665.0,99,529.651945
659.0,101,530.851995
658.0,104,532.033335
663.0,103,533.264122
-70.0,82,534.218737
657.0,93,535.266831
-100.0,62,536.087549
651.0,105,537.258846
661.0,103,538.481509
657.0,101,539.62139
656.0,90,540.723347
655.0,95,541.816241
-90.0,69,542.642287
647.0,89,543.71062
663.0,107,544.917438
663.0,101,546.100196
-86.0,73,546.968052
660.0,100,548.072198
649.0,89,549.170123
664.0,98,550.290315
663.0,101,551.499636
660.0,92,552.565589
-8.0,134,554.096709
658.0,96,555.18303
-84.0,70,556.037753
663.0,97,557.170448
668.0,106,558.375265
659.0,101,559.60668
660.0,114,560.857761
-92.0,70,561.763337
663.0,107,562.964176
650.0,90,564.082501
666.0,114,565.355631
-102.0,64,566.170921
661.0,109,567.376684
-72.0,75,568.275732
655.0,89,569.359957
-72.0,82,570.327667
664.0,96,571.482773
656.0,100,572.610067
-104.0,64,573.453996
-78.0,72,574.290916
-82.0,73,575.144595
662.0,98,576.320351
654.0,110,577.543337
660.0,86,578.592973
648.0,116,579.88266
668.0,136,581.435156
671.0,115,582.705198
-56.0,90,583.807897
672.0,108,585.005493
652.0,106,586.265442
672.0,138,587.765356
661.0,107,589.015239
-82.0,73,589.869697
-96.0,66,590.741164
-84.0,73,591.585617
-72.0,77,592.490628
653.0,95,593.629309
663.0,109,594.844014
651.0,99,596.028955
652.0,96,597.108973
655.0,87,598.180915
-74.0,78,599.074523
658.0,104,600.220252
664.0,88,601.312996
-78.0,72,602.154451
675.0,115,603.506473
664.0,106,604.696267
657.0,95,605.771818
664.0,98,606.938076
665.0,101,608.073892
-102.0,62,608.883043
-78.0,75,609.785065
-88.0,69,610.585842
662.0,100,611.776988
-58.0,87,612.76821
655.0,89,613.843287
655.0,97,614.941948
-110.0,53,615.675938
-82.0,71,616.519074
671.0,121,617.854755
-102.0,60,618.67805
661.0,99,619.778171
667.0,105,621.010217
658.0,106,622.192749
654.0,90,623.318169
663.0,117,624.624916
-96.0,60,625.428625
660.0,108,626.636471
660.0,104,627.904747
-74.0,78,628.83955
659.0,99,630.039573
660.0,116,631.344262
665.0,103,632.52997
669.0,113,633.791224
659.0,101,634.952985
658.0,90,636.060154
652.0,104,637.24716
668.0,112,638.505372
662.0,104,639.660548
667.0,109,640.92164
662.0,104,642.070431
657.0,101,643.25362
-78.0,74,644.11699
-70.0,79,645.086272
658.0,116,646.363285
-84.0,70,647.179217
658.0,104,648.423904
670.0,114,649.765807
674.0,118,651.055594
-60.0,91,652.087065
-62.0,83,653.117349
671.0,115,654.386043
654.0,114,655.72599
-74.0,82,656.667727
669.0,119,658.035852
664.0,110,659.255694
655.0,119,660.648253
-80.0,72,661.538873
653.0,103,662.774457
-76.0,80,663.716822
664.0,102,664.919233
-78.0,78,665.830405
661.0,101,666.951196
-80.0,76,667.934333
661.0,97,669.013212
659.0,105,670.254066
667.0,101,671.396371
64.0,199,673.613936
-100.0,200,675.820205
662.0,94,676.893483
654.0,98,678.058318
-52.0,92,679.105273
-84.0,72,680.024316
-78.0,77,680.936699
657.0,113,682.206042
658.0,98,683.310858
657.0,95,684.379049
-104.0,63,685.246458
666.0,98,686.347785
649.0,89,687.430902
-180.0,200,689.642182
-46.0,100,690.777134
-80.0,73,691.721665
665.0,103,692.882686
659.0,111,694.173489
662.0,102,695.436723
-74.0,85,696.486583
655.0,109,697.79597
-82.0,70,698.674746
-174.0,25,699.113893
657.0,105,700.362313
663.0,111,701.69409
-188.0,200,704.059853
-80.0,73,704.946612
655.0,89,706.037705
665.0,93,707.12172
658.0,102,708.347482
672.0,122,709.784894
36.0,187,712.023845
678.0,126,713.594351
655.0,93,714.814091
-64.0,83,715.776114
659.0,101,717.029875
649.0,93,718.268978
659.0,107,719.571769
-102.0,69,720.522876
657.0,107,721.722239
663.0,107,723.01261
648.0,86,724.162841
655.0,105,725.413069
-72.0,77,726.298264
-94.0,67,727.185719
646.0,106,728.525697
654.0,88,729.688345
660.0,98,730.797881
-172.0,23,731.217903
653.0,87,732.290547
-98.0,64,733.156095
662.0,98,734.360326
651.0,89,735.473974
664.0,116,736.9456
668.0,100,738.079361
-78.0,72,739.071574
666.0,82,740.084066
659.0,99,741.342485
664.0,98,742.545305
-52.0,106,743.82839
-104.0,61,744.646765
-72.0,76,745.71567
-100.0,74,746.671419
659.0,99,747.966185
666.0,104,749.179821
658.0,110,750.452785
-86.0,73,751.428975
652.0,98,752.620809
646.0,78,753.704071
-186.0,200,756.093262
-78.0,75,756.99311
648.0,100,758.237016
-74.0,100,759.543684
-100.0,58,760.336728
-38.0,151,762.07881
649.0,91,763.265852
-48.0,200,765.666205
633.0,97,766.976327
662.0,94,768.082778
659.0,105,769.279674
648.0,78,770.423118
653.0,111,771.750927
652.0,98,773.031987
621.0,153,774.824161
656.0,96,776.070261
658.0,112,777.413052
-88.0,66,778.344502
659.0,101,779.585484
-110.0,57,780.369247
661.0,99,781.661856
662.0,112,783.010179
-104.0,54,783.756002
665.0,109,785.044292
-56.0,95,786.144097
-84.0,70,787.149307
-28.0,118,788.672494
-110.0,56,789.443636
663.0,103,790.679882
654.0,128,792.209651
-98.0,200,794.600112
-84.0,75,795.562879
659.0,111,796.945173
672.0,118,798.304502
-94.0,56,799.159169
680.0,136,800.764986
655.0,89,801.857543
639.0,109,803.217635
657.0,91,804.369315
656.0,104,805.622579
-72.0,75,806.587178
-44.0,92,807.685858
671.0,127,809.253838
659.0,101,810.476709
668.0,114,811.81689
659.0,93,812.938706
659.0,111,814.251883
-72.0,83,815.419186
662.0,100,816.683076
-58.0,84,817.717598
654.0,88,818.871678
665.0,105,820.293325
-96.0,60,821.166481
655.0,129,822.637896
662.0,108,823.917355
-64.0,80,824.838626
642.0,132,826.456813
-80.0,74,827.518842
659.0,99,828.891803
-86.0,70,829.872652
655.0,115,831.297314
-82.0,71,832.230911
654.0,96,833.465278
676.0,112,834.820767
666.0,122,836.171013
663.0,103,837.432892
657.0,97,838.796837
652.0,94,840.058785
614.0,174,842.262084
-82.0,74,843.299194
665.0,103,844.448112
664.0,126,845.936288
641.0,125,847.580315
661.0,111,849.050954
-68.0,200,851.394371
655.0,123,852.964891
667.0,109,854.46139
654.0,102,855.605062
-76.0,72,856.584644
-64.0,85,857.645519
658.0,104,858.979505
664.0,124,860.433405
-138.0,36,861.015656
656.0,104,862.372434
673.0,149,864.154345
-78.0,74,865.120301
658.0,102,866.455436
44.0,170,868.75492
662.0,96,870.001104
684.0,140,871.623959
690.0,142,873.273896
-78.0,77,874.431664
663.0,121,876.021918
662.0,172,878.076751
52.0,194,880.589623
-64.0,89,881.790102
653.0,113,883.1942
-82.0,72,884.258643
664.0,106,885.549293
653.0,123,887.113504
26.0,160,889.217858
651.0,113,890.596032
656.0,96,891.748375
0.0,137,893.387614
674.0,112,894.794498
-70.0,81,895.730518
646.0,80,896.912581
664.0,102,898.238731
656.0,96,899.573229
-104.0,55,900.34058
-84.0,70,901.286074
663.0,107,902.647566
-78.0,78,903.631806
-78.0,73,904.572705
662.0,106,906.063806
668.0,106,907.373457
669.0,113,908.735766
-16.0,146,910.492364
670.0,108,911.973065
-72.0,76,912.866975
644.0,84,914.129172
660.0,102,915.499533
666.0,108,916.818821
-26.0,200,919.127381
669.0,111,920.477101
662.0,104,921.746848
647.0,85,922.797498
671.0,135,924.475203
661.0,105,925.835207
-78.0,76,926.883791
671.0,131,928.424553
664.0,106,929.839598
18.0,170,931.976732
34.0,174,933.939751
-92.0,64,934.835045
-90.0,67,935.822624
661.0,97,937.142843
-16.0,200,939.464005
-148.0,29,939.959433
667.0,95,941.188663
655.0,103,942.457288
683.0,143,944.163756
-90.0,64,945.08647
647.0,95,946.307725
645.0,93,947.591934
657.0,93,948.809197
690.0,154,950.594186
40.0,172,952.643912
656.0,118,954.061186
-82.0,81,955.110387
650.0,92,956.386566
662.0,98,957.624965
658.0,92,958.861672
683.0,131,960.493864
669.0,101,961.745523
660.0,112,963.080578
663.0,101,964.307425
-82.0,87,965.438724
672.0,82,966.633177
678.0,128,968.123735
658.0,126,969.705926
669.0,105,971.028819
661.0,107,972.411299
-32.0,200,974.694249
679.0,127,976.19435
656.0,114,977.548436
656.0,98,978.911486
670.0,124,980.354437
659.0,103,981.497044
668.0,108,982.869889
648.0,102,984.1935
-88.0,69,985.069579
664.0,106,986.38701
-90.0,84,987.481301
640.0,110,988.881101
651.0,91,989.990925
653.0,95,991.151614
629.0,149,993.222738
671.0,109,994.643842
-20.0,113,996.007482
-42.0,200,998.24429
664.0,134,999.724822
659.0,115,1001.186752
-100.0,62,1002.134637
-98.0,64,1002.971957
-102.0,57,1003.818303
675.0,127,1005.333586
666.0,98,1006.70999
666.0,108,1008.079455
668.0,110,1009.362156
678.0,126,1010.953497
660.0,106,1012.429106
655.0,111,1013.956055
-72.0,79,1015.065317
656.0,92,1016.389624
651.0,91,1017.619558
665.0,113,1019.168673
681.0,97,1020.572942
663.0,121,1022.170514
-28.0,108,1023.556731
659.0,103,1024.866321
683.0,113,1026.27506
669.0,117,1027.745148
655.0,95,1029.036074
663.0,99,1030.403505
663.0,105,1031.860859
663.0,103,1033.167946
12.0,176,1035.358551
675.0,83,1036.455978
-106.0,200,1039.212918
654.0,106,1040.712296
36.0,163,1042.934917
669.0,147,1044.833167
671.0,117,1046.343134
668.0,104,1047.848955
675.0,123,1049.555881
666.0,108,1050.908113
-92.0,72,1051.931123
657.0,93,1053.302864
-78.0,72,1054.313061
674.0,128,1056.074287
-102.0,61,1057.005436
666.0,98,1058.377516
-84.0,70,1059.376205
28.0,171,1061.716298
-72.0,85,1062.858912
656.0,114,1064.470617
-80.0,72,1065.566502
-98.0,63,1066.555242
674.0,92,1067.900356
669.0,111,1069.443131
26.0,167,1071.610375
659.0,95,1072.999353
-66.0,80,1074.062625
660.0,94,1075.426613
656.0,102,1076.871519
663.0,117,1078.49877
666.0,124,1080.085451
684.0,132,1081.653256
-30.0,125,1083.469887
645.0,103,1084.931132
654.0,94,1086.256098
663.0,121,1087.773289
671.0,105,1089.166908
672.0,112,1090.574204
693.0,139,1092.313892
655.0,95,1093.556769
-74.0,82,1094.729866
662.0,110,1096.223373
-68.0,78,1097.373924
-66.0,83,1098.592527
-68.0,83,1099.815891
669.0,117,1101.247222
-66.0,80,1102.442183
669.0,111,1103.766308
671.0,115,1105.350521
676.0,94,1106.708632
652.0,130,1108.488961
665.0,117,1110.14906
667.0,105,1111.600003
0.0,128,1113.152674
-34.0,102,1114.454871
-50.0,95,1115.766032
686.0,140,1117.483595
666.0,112,1119.0724
-116.0,200,1121.555591
647.0,99,1122.958456
657.0,105,1124.416462
672.0,110,1125.806193
676.0,96,1127.185567
663.0,99,1128.496489
670.0,96,1129.899772
651.0,91,1131.197586
662.0,98,1132.623154
656.0,100,1134.047701
643.0,199,1136.770083
647.0,97,1138.077261
-68.0,200,1140.929435
659.0,95,1142.31254
653.0,109,1143.942296
-56.0,103,1145.425181
678.0,96,1146.882327
676.0,118,1148.715058
-38.0,200,1151.60783
2.0,151,1153.993304
664.0,126,1155.913121
-98.0,66,1157.095553
643.0,87,1158.598731
-92.0,65,1159.715931
-72.0,79,1160.911103
-98.0,69,1162.061003
648.0,104,1163.880733
-38.0,98,1165.392735
655.0,111,1167.294134
-122.0,45,1168.120388
-34.0,200,1171.380178
649.0,95,1172.832349
-90.0,69,1173.983927
