#{"t_start": 1779749986.0541875, "env_id": "None"}
r,l,t
-118.0,117,1.910736
-172.0,45,2.47061
-142.0,96,3.540292
-182.0,29,3.94031
-166.0,47,4.520226
-154.0,77,5.400704
-158.0,60,6.110438
-174.0,53,6.760936
-176.0,42,7.290186
-176.0,44,7.840659
-178.0,31,8.260256
-176.0,34,8.710322
-168.0,50,9.320067
-160.0,57,10.001264
-166.0,60,10.710315
-160.0,68,11.50073
-168.0,38,11.990448
-150.0,69,13.05053
-154.0,61,13.780394
-114.0,109,14.980322
-178.0,24,15.33056
-168.0,49,15.931422
-114.0,93,16.970402
-170.0,41,17.490498
-106.0,143,19.030494
-176.0,35,19.490706
-148.0,68,20.280519
-182.0,44,20.830666
-176.0,26,21.200432
-170.0,49,21.800555
-170.0,47,22.380657
-160.0,61,23.100733
-162.0,65,23.861623
-144.0,76,24.730901
-126.0,104,25.880187
-120.0,87,26.860996
-166.0,54,27.5106
-136.0,99,28.61133
-110.0,107,29.790885
-152.0,67,30.571251
-180.0,43,31.110643
-170.0,37,31.59068
-140.0,60,32.300662
-152.0,61,33.021777
-162.0,44,33.570675
-158.0,64,34.320678
-112.0,107,35.501415
-114.0,85,36.461408
-128.0,99,37.560492
-106.0,126,38.932458
-110.0,107,40.115904
-172.0,44,40.66154
-148.0,64,41.410907
-134.0,67,42.191475
-114.0,95,43.250818
-110.0,114,44.501473
-130.0,67,45.280327
-170.0,36,45.751467
-178.0,32,46.180367
-146.0,62,46.911395
-164.0,46,47.481504
-164.0,43,48.021427
-158.0,59,48.721039
-162.0,42,49.250622
-126.0,92,50.280845
-146.0,41,50.800565
-156.0,50,51.410718
-108.0,115,52.670421
-110.0,92,53.700876
-158.0,46,54.271494
-172.0,35,54.731818
-170.0,47,55.311531
-146.0,58,56.000934
-162.0,46,56.571014
-110.0,113,57.811612
-108.0,105,58.971256
-118.0,99,60.071636
-158.0,38,60.563675
-110.0,93,61.601628
-110.0,108,62.791607
-170.0,35,63.251872
-166.0,36,63.721668
-112.0,87,64.70183
598.0,118,65.99072
-148.0,82,66.922606
-158.0,38,67.412662
-174.0,23,67.750816
-166.0,37,68.230726
-132.0,89,69.232656
