#{"t_start": 1779744377.8609426, "env_id": "None"}
r,l,t
-136.0,81,4.141227
-146.0,71,4.961036
-118.0,127,6.340262
-150.0,80,7.252234
-166.0,62,7.981928
-116.0,139,9.491066
-116.0,138,10.979798
-160.0,74,11.83142
-168.0,48,12.420785
-120.0,108,13.610365
-176.0,48,14.200292
-138.0,90,15.48035
-150.0,60,16.190589
-140.0,86,17.161219
-122.0,99,18.260361
-152.0,63,19.00141
-140.0,74,19.850112
-170.0,48,20.440265
-112.0,178,22.330175
-114.0,96,23.402441
-176.0,42,23.930893
-154.0,56,24.600995
-174.0,25,24.960293
-174.0,43,25.499792
-160.0,51,26.120429
-144.0,92,27.150411
-100.0,128,28.541253
-180.0,25,28.900258
-180.0,27,29.280241
-174.0,36,29.749825
-172.0,44,30.300202
-134.0,91,31.321314
-180.0,26,31.690395
-114.0,127,33.074071
-146.0,66,33.840356
-182.0,33,34.281452
-100.0,130,35.690211
-160.0,49,36.29057
-80.0,177,38.170239
-144.0,79,39.070958
-166.0,42,39.601988
-124.0,116,40.87051
-112.0,140,42.381092
-168.0,68,43.170598
-172.0,46,43.741172
-146.0,78,44.630318
-146.0,63,45.370663
-118.0,91,46.390223
-150.0,79,47.291141
-162.0,50,47.902061
-116.0,113,49.141206
-170.0,56,49.811193
-178.0,30,50.221431
-174.0,39,50.721166
-164.0,75,51.581518
-174.0,40,52.091779
-172.0,43,52.631226
-166.0,46,53.201126
-174.0,33,53.640184
-170.0,47,54.221123
-134.0,83,55.160354
-136.0,91,56.181251
-166.0,38,56.671501
-172.0,45,57.231191
-176.0,43,57.770523
-170.0,43,58.310596
-116.0,94,59.362246
-164.0,54,60.010473
-172.0,35,60.469899
-164.0,44,61.021327
-98.0,161,62.741014
-164.0,35,63.200389
-150.0,57,63.884329
-152.0,60,64.591389
-164.0,39,65.091233
-110.0,137,66.570963
-162.0,46,67.141215
-148.0,61,67.862235
-170.0,35,68.321124
-138.0,97,69.402129
-132.0,96,70.475404
-112.0,103,71.616023
-106.0,108,72.80524
-146.0,72,73.635165
-170.0,36,74.108317
-162.0,46,74.679387
-148.0,74,75.524853
-150.0,69,76.329324
-182.0,21,76.646935
-156.0,67,77.426228
-110.0,115,78.698148
-176.0,38,79.186612
-162.0,47,79.766358
-108.0,113,81.006374
-100.0,123,82.345649
-164.0,37,82.825216
-178.0,38,83.324665
-160.0,57,84.005468
-138.0,64,84.756047
-172.0,37,85.236244
-148.0,60,85.946727
-152.0,57,86.624498
-158.0,59,87.325543
-130.0,77,88.205543
-154.0,62,88.934653
-162.0,43,89.475503
-146.0,63,90.221246
-112.0,101,91.344463
-172.0,47,91.927834
-166.0,58,92.616076
-154.0,50,93.232269
-172.0,35,93.686528
-112.0,101,94.805619
-160.0,34,95.256178
-180.0,26,95.62539
-112.0,93,96.672566
-114.0,71,97.485976
-176.0,41,98.034613
-134.0,77,98.916433
-152.0,53,99.55455
-172.0,38,100.047228
-108.0,101,101.167496
-162.0,37,101.646339
-174.0,31,102.066276
-176.0,39,102.565058
-164.0,45,103.139482
-172.0,29,103.553696
-106.0,133,105.022633
-92.0,131,106.455779
-162.0,45,107.017181
-130.0,90,108.026954
-146.0,73,108.867222
-162.0,40,109.381181
-170.0,40,109.888128
-106.0,120,111.19616
-108.0,121,112.51578
-166.0,40,113.026361
-104.0,104,114.176723
-152.0,63,114.915711
-178.0,36,115.38533
-94.0,108,116.575438
582.0,148,118.164705
-106.0,107,119.347437
-148.0,56,120.01855
-156.0,45,120.578171
-150.0,62,121.333951
-162.0,47,121.916626
-168.0,50,122.528894
-164.0,34,122.977252
-150.0,55,123.637013
-128.0,96,124.70714
-172.0,45,125.271927
-120.0,83,126.205787
-150.0,55,126.915488
-146.0,55,127.585848
-158.0,51,128.205196
-168.0,32,128.637715
-144.0,65,129.39604
-134.0,87,130.376257
-174.0,29,130.838488
-148.0,62,131.569941
-168.0,49,132.169344
-154.0,52,132.801977
-172.0,38,133.290298
-172.0,31,133.740569
-120.0,87,134.719286
-172.0,32,135.152765
-158.0,47,135.731914
-130.0,73,136.567218
-110.0,90,137.584007
-104.0,112,138.82887
-108.0,79,139.726798
-178.0,32,140.175263
-156.0,65,140.950788
-158.0,45,141.506457
588.0,140,143.014197
-164.0,43,143.557327
-102.0,140,145.060444
-172.0,37,145.540204
-176.0,29,145.931579
-110.0,88,146.924309
-94.0,101,148.044896
-172.0,53,148.703827
-106.0,110,149.917727
-148.0,42,150.448999
-106.0,106,151.618449
581.0,139,153.116118
580.0,144,154.665732
-172.0,49,155.271592
-106.0,108,156.460349
-110.0,103,157.603792
-160.0,43,158.148241
-106.0,100,159.258238
-110.0,91,160.298957
-174.0,39,160.796058
572.0,160,162.50569
-120.0,108,163.698699
-168.0,35,164.155507
-166.0,68,164.945489
-168.0,44,165.497171
-100.0,135,166.958328
-174.0,40,167.477978
595.0,137,168.956477
-164.0,45,169.51795
-144.0,76,170.387976
-106.0,118,171.681998
-180.0,31,172.098502
-40.0,178,174.086833
-150.0,200,176.196589
581.0,153,177.836211
-104.0,111,179.056329
543.0,189,181.055907
-144.0,59,181.760027
-112.0,97,182.835841
-106.0,102,183.968071
-112.0,103,185.139603
-102.0,113,186.378025
-110.0,100,187.489246
-106.0,99,188.589394
-104.0,129,189.988264
-52.0,165,191.749863
-160.0,42,192.291457
-150.0,200,194.396186
-110.0,96,195.472023
-108.0,125,196.841148
-102.0,161,198.560073
-148.0,200,200.672626
552.0,186,202.643887
-100.0,148,204.239998
586.0,156,205.9096
-166.0,46,206.485119
596.0,150,208.081658
564.0,168,209.871263
-104.0,123,211.217554
-84.0,160,212.996703
-108.0,124,214.358326
-84.0,150,215.976185
618.0,102,217.105117
-88.0,123,218.45918
-86.0,159,220.161151
559.0,171,221.986185
603.0,129,223.37805
-100.0,118,224.673367
